"user_id","gender","age","occu","sign","is_indunk","is_student","is_education","is_technology"
3991108,1,17,"indUnk","Leo",1,NA,NA,NA
3417138,1,25,"Communications-Media","Taurus",0,0,NA,NA
3673414,0,14,"Student","Scorpio",0,1,NA,NA
3361075,1,16,"Student","Capricorn",0,1,NA,NA
4115327,1,14,"indUnk","Libra",1,NA,NA,NA
3549541,1,16,"Student","Gemini",0,1,NA,NA
3750679,1,46,"indUnk","Libra",1,NA,NA,NA
3600011,0,43,"Technology","Cancer",0,0,NA,NA
3469665,1,23,"Military","Taurus",0,0,NA,NA
4074230,0,35,"Technology","Pisces",0,0,NA,NA
715237,0,26,"indUnk","Virgo",1,NA,NA,NA
3295265,0,23,"Consulting","Gemini",0,0,NA,NA
791840,0,38,"Student","Aries",0,1,NA,NA
3544826,1,37,"Fashion","Sagittarius",0,0,NA,NA
3711805,0,23,"indUnk","Aries",1,NA,NA,NA
4216216,1,39,"indUnk","Leo",1,NA,NA,NA
3991209,1,14,"Student","Pisces",0,1,NA,NA
1077954,0,26,"indUnk","Gemini",1,NA,NA,NA
3358293,1,26,"indUnk","Scorpio",1,NA,NA,NA
4190982,0,17,"Engineering","Sagittarius",0,0,NA,NA
3671580,0,24,"Student","Leo",0,1,NA,NA
3155970,1,24,"Science","Sagittarius",0,0,NA,NA
1636406,0,23,"Student","Scorpio",0,1,NA,NA
2935790,0,16,"Student","Taurus",0,1,NA,NA
4263309,1,48,"Fashion","Pisces",0,0,NA,NA
4220141,1,15,"indUnk","Leo",1,NA,NA,NA
2300555,1,24,"indUnk","Libra",1,NA,NA,NA
3498277,1,13,"indUnk","Pisces",1,NA,NA,NA
2678611,0,16,"Student","Capricorn",0,1,NA,NA
1234212,0,27,"indUnk","Taurus",1,NA,NA,NA
3808913,1,25,"Arts","Capricorn",0,0,NA,NA
3983686,1,27,"Non-Profit","Capricorn",0,0,NA,NA
3838040,0,17,"Engineering","Cancer",0,0,NA,NA
4142807,1,17,"Student","Capricorn",0,1,NA,NA
4075308,1,15,"Student","Scorpio",0,1,NA,NA
3421075,0,23,"Technology","Cancer",0,0,NA,NA
4045197,1,17,"indUnk","Gemini",1,NA,NA,NA
3913126,0,26,"Communications-Media","Taurus",0,0,NA,NA
3396638,1,47,"indUnk","Pisces",1,NA,NA,NA
1305545,0,34,"indUnk","Aquarius",1,NA,NA,NA
3560320,0,46,"Manufacturing","Libra",0,0,NA,NA
3753830,1,13,"Student","Capricorn",0,1,NA,NA
3659117,1,36,"Marketing","Cancer",0,0,NA,NA
3558382,1,40,"indUnk","Aquarius",1,NA,NA,NA
3779062,1,24,"indUnk","Leo",1,NA,NA,NA
3734069,1,24,"indUnk","Scorpio",1,NA,NA,NA
3646978,1,35,"indUnk","Virgo",1,NA,NA,NA
3307733,1,26,"Manufacturing","Sagittarius",0,0,NA,NA
3146636,1,48,"indUnk","Pisces",1,NA,NA,NA
3785626,1,15,"Student","Taurus",0,1,NA,NA
4031020,1,27,"Marketing","Cancer",0,0,NA,NA
4298922,1,27,"Marketing","Virgo",0,0,NA,NA
1969237,0,43,"Sports-Recreation","Cancer",0,0,NA,NA
4128156,0,47,"Consulting","Gemini",0,0,NA,NA
3418455,0,26,"Student","Gemini",0,1,NA,NA
4166693,1,24,"Education","Cancer",0,0,NA,NA
3415194,1,45,"Government","Sagittarius",0,0,NA,NA
1232458,1,38,"indUnk","Cancer",1,NA,NA,NA
3782048,0,16,"indUnk","Aquarius",1,NA,NA,NA
3694314,1,16,"indUnk","Cancer",1,NA,NA,NA
3823631,1,37,"Marketing","Cancer",0,0,NA,NA
3374253,0,26,"Telecommunications","Libra",0,0,NA,NA
3509206,1,17,"Student","Cancer",0,1,NA,NA
3596192,0,40,"Technology","Scorpio",0,0,NA,NA
3816397,1,42,"Technology","Virgo",0,0,NA,NA
2680773,0,24,"Communications-Media","Gemini",0,0,NA,NA
4040811,1,23,"indUnk","Cancer",1,NA,NA,NA
1401816,0,40,"indUnk","Pisces",1,NA,NA,NA
3155540,1,24,"Communications-Media","Sagittarius",0,0,NA,NA
4248100,0,14,"Student","Aquarius",0,1,NA,NA
3483901,1,23,"indUnk","Taurus",1,NA,NA,NA
3634853,0,44,"Technology","Virgo",0,0,NA,NA
4184832,1,36,"indUnk","Cancer",1,NA,NA,NA
3038828,1,24,"indUnk","Aries",1,NA,NA,NA
1960271,0,35,"Internet","Aries",0,0,NA,NA
2224636,1,17,"indUnk","Aries",1,NA,NA,NA
3306195,0,33,"indUnk","Leo",1,NA,NA,NA
3972268,0,17,"Science","Leo",0,0,NA,NA
3679805,1,15,"Student","Virgo",0,1,NA,NA
3663542,0,23,"Student","Cancer",0,1,NA,NA
3471824,1,16,"Student","Scorpio",0,1,NA,NA
3921381,1,27,"Technology","Cancer",0,0,NA,NA
3599631,0,24,"Technology","Gemini",0,0,NA,NA
4096204,1,17,"indUnk","Scorpio",1,NA,NA,NA
4056798,1,14,"Student","Virgo",0,1,NA,NA
3539593,0,23,"Technology","Cancer",0,0,NA,NA
3463885,0,42,"indUnk","Gemini",1,NA,NA,NA
4149935,0,15,"Student","Capricorn",0,1,NA,NA
3856641,0,27,"Arts","Aries",0,0,NA,NA
4308812,1,24,"Communications-Media","Aries",0,0,NA,NA
4162840,0,17,"indUnk","Virgo",1,NA,NA,NA
4210644,1,14,"Student","Leo",0,1,NA,NA
1785539,0,24,"Science","Scorpio",0,0,NA,NA
3877108,1,27,"Student","Pisces",0,1,NA,NA
4121917,1,15,"Student","Aries",0,1,NA,NA
3749228,0,13,"indUnk","Taurus",1,NA,NA,NA
3130162,0,26,"Banking","Virgo",0,0,NA,NA
4023489,1,25,"indUnk","Taurus",1,NA,NA,NA
3784161,1,17,"Student","Leo",0,1,NA,NA
2880960,0,34,"Communications-Media","Pisces",0,0,NA,NA
3759734,1,27,"Student","Leo",0,1,NA,NA
3924062,0,17,"Non-Profit","Capricorn",0,0,NA,NA
2311511,0,13,"indUnk","Taurus",1,NA,NA,NA
1808929,0,23,"Student","Leo",0,1,NA,NA
4310425,1,27,"indUnk","Aries",1,NA,NA,NA
3986257,1,15,"Student","Gemini",0,1,NA,NA
3992688,0,27,"Government","Virgo",0,0,NA,NA
1807720,1,16,"Student","Leo",0,1,NA,NA
3840157,1,14,"Student","Scorpio",0,1,NA,NA
3125462,0,15,"Student","Taurus",0,1,NA,NA
2607577,1,27,"Religion","Aquarius",0,0,NA,NA
2967519,1,17,"Student","Gemini",0,1,NA,NA
1298865,1,39,"indUnk","Aquarius",1,NA,NA,NA
4132315,0,15,"indUnk","Aries",1,NA,NA,NA
3889796,0,14,"indUnk","Pisces",1,NA,NA,NA
3532367,0,33,"Education","Aries",0,0,NA,NA
1733718,1,24,"Student","Virgo",0,1,NA,NA
4022192,1,17,"Student","Gemini",0,1,NA,NA
3069909,1,35,"HumanResources","Virgo",0,0,NA,NA
3595127,1,23,"Communications-Media","Cancer",0,0,NA,NA
3861317,1,25,"Government","Aries",0,0,NA,NA
3487773,1,24,"indUnk","Gemini",1,NA,NA,NA
3170057,1,26,"Communications-Media","Gemini",0,0,NA,NA
3590306,1,23,"Accounting","Scorpio",0,0,NA,NA
3339644,0,26,"Internet","Capricorn",0,0,NA,NA
3533397,1,17,"Internet","Virgo",0,0,NA,NA
3879020,0,24,"indUnk","Sagittarius",1,NA,NA,NA
4129852,0,17,"Student","Aries",0,1,NA,NA
2831727,1,25,"indUnk","Aries",1,NA,NA,NA
4163223,0,23,"Technology","Pisces",0,0,NA,NA
3463044,1,37,"indUnk","Pisces",1,NA,NA,NA
3476799,0,24,"indUnk","Leo",1,NA,NA,NA
3191071,1,14,"indUnk","Gemini",1,NA,NA,NA
1359631,0,26,"Internet","Cancer",0,0,NA,NA
4259479,0,17,"RealEstate","Libra",0,0,NA,NA
3905963,1,23,"Consulting","Taurus",0,0,NA,NA
3911122,1,13,"indUnk","Taurus",1,NA,NA,NA
671748,0,27,"Communications-Media","Aries",0,0,NA,NA
3869854,0,33,"Marketing","Sagittarius",0,0,NA,NA
4077627,0,44,"Telecommunications","Scorpio",0,0,NA,NA
3839683,1,23,"Student","Pisces",0,1,NA,NA
3938699,0,17,"Student","Taurus",0,1,NA,NA
3388444,0,24,"Communications-Media","Leo",0,0,NA,NA
4248403,0,27,"indUnk","Cancer",1,NA,NA,NA
3893150,0,16,"Student","Virgo",0,1,NA,NA
3206777,0,24,"Education","Libra",0,0,NA,NA
3821963,1,15,"Student","Leo",0,1,NA,NA
3735544,1,13,"Student","Libra",0,1,NA,NA
1007188,0,48,"Religion","Libra",0,0,NA,NA
3936941,0,26,"Consulting","Aquarius",0,0,NA,NA
4067087,1,39,"Education","Leo",0,0,NA,NA
3320022,0,26,"Telecommunications","Gemini",0,0,NA,NA
3311843,0,41,"indUnk","Libra",1,NA,NA,NA
3466740,1,23,"indUnk","Virgo",1,NA,NA,NA
4044445,1,40,"indUnk","Virgo",1,NA,NA,NA
3677153,0,15,"indUnk","Leo",1,NA,NA,NA
3485630,1,15,"Arts","Aries",0,0,NA,NA
3624333,1,37,"indUnk","Gemini",1,NA,NA,NA
1788355,0,24,"indUnk","Taurus",1,NA,NA,NA
3811749,1,26,"indUnk","Virgo",1,NA,NA,NA
3851968,1,14,"indUnk","Cancer",1,NA,NA,NA
3417999,0,33,"Non-Profit","Virgo",0,0,NA,NA
3853532,1,35,"HumanResources","Aquarius",0,0,NA,NA
3877932,0,23,"Student","Aquarius",0,1,NA,NA
1729882,0,48,"Education","Taurus",0,0,NA,NA
4015298,1,42,"indUnk","Taurus",1,NA,NA,NA
4178914,0,17,"indUnk","Aquarius",1,NA,NA,NA
4008193,1,17,"Student","Gemini",0,1,NA,NA
3554687,0,15,"indUnk","Taurus",1,NA,NA,NA
1261679,1,16,"indUnk","Gemini",1,NA,NA,NA
4280767,1,16,"Student","Gemini",0,1,NA,NA
4115407,1,14,"Student","Capricorn",0,1,NA,NA
3186371,0,27,"Law","Taurus",0,0,NA,NA
