user_id,gender,age,occu,sign,is_indunk,is_student,is_education,is_technology
1503551,0,27,Education,Sagittarius,0,0.0,,
3831350,0,26,Manufacturing,Capricorn,0,0.0,,
4206637,1,24,Communications-Media,Capricorn,0,0.0,,
4149956,1,45,Law,Sagittarius,0,0.0,,
3155540,1,24,Communications-Media,Sagittarius,0,0.0,,
4008193,1,17,Student,Gemini,0,1.0,,
4117248,1,16,indUnk,Pisces,1,,,
4179297,1,27,Government,Aries,0,0.0,,
3423418,0,25,Student,Aries,0,1.0,,
3493704,0,26,Engineering,Cancer,0,0.0,,
4313487,0,26,indUnk,Sagittarius,1,,,
3889401,0,23,Student,Taurus,0,1.0,,
2694370,0,27,indUnk,Taurus,1,,,
4285920,0,24,Education,Scorpio,0,0.0,,
3715376,1,17,Student,Gemini,0,1.0,,
4112653,1,15,Student,Sagittarius,0,1.0,,
3377942,1,24,indUnk,Libra,1,,,
4128797,0,27,Technology,Sagittarius,0,0.0,,
3538351,1,17,indUnk,Sagittarius,1,,,
3672170,0,36,Internet,Scorpio,0,0.0,,
3348160,0,24,Government,Leo,0,0.0,,
3729846,0,17,Student,Sagittarius,0,1.0,,
4150699,1,24,indUnk,Aquarius,1,,,
4074230,0,35,Technology,Pisces,0,0.0,,
3460713,1,17,Arts,Leo,0,0.0,,
3656035,1,16,indUnk,Leo,1,,,
3983686,1,27,Non-Profit,Capricorn,0,0.0,,
3972268,0,17,Science,Leo,0,0.0,,
3380464,0,48,Communications-Media,Libra,0,0.0,,
3753339,1,23,Education,Taurus,0,0.0,,
3992553,1,23,indUnk,Aries,1,,,
3457789,0,15,Student,Sagittarius,0,1.0,,
3614153,0,24,indUnk,Sagittarius,1,,,
3495545,0,26,indUnk,Gemini,1,,,
3662868,0,14,Student,Gemini,0,1.0,,
3962812,0,17,indUnk,Scorpio,1,,,
4224299,1,17,Fashion,Scorpio,0,0.0,,
3546623,1,42,indUnk,Libra,1,,,
3471727,1,24,indUnk,Virgo,1,,,
3802511,1,25,indUnk,Libra,1,,,
4022853,0,17,Student,Leo,0,1.0,,
4178914,0,17,indUnk,Aquarius,1,,,
3885952,0,24,Technology,Aries,0,0.0,,
4199600,1,24,indUnk,Pisces,1,,,
2952959,1,24,indUnk,Capricorn,1,,,
3485630,1,15,Arts,Aries,0,0.0,,
3191071,1,14,indUnk,Gemini,1,,,
2972526,1,25,Consulting,Virgo,0,0.0,,
1143104,0,23,Student,Gemini,0,1.0,,
791840,0,38,Student,Aries,0,1.0,,
3878251,1,25,Construction,Pisces,0,0.0,,
4284264,0,27,Telecommunications,Gemini,0,0.0,,
3481255,0,26,indUnk,Sagittarius,1,,,
673235,0,37,Internet,Capricorn,0,0.0,,
3833031,0,24,indUnk,Aquarius,1,,,
3496136,1,38,indUnk,Libra,1,,,
3297517,1,27,indUnk,Pisces,1,,,
3394208,0,17,Student,Capricorn,0,1.0,,
3392887,1,24,Science,Libra,0,0.0,,
1156278,0,37,Internet,Taurus,0,0.0,,
3582331,1,23,indUnk,Pisces,1,,,
3066719,0,27,Technology,Pisces,0,0.0,,
3122944,1,24,indUnk,Sagittarius,1,,,
4021133,1,17,indUnk,Libra,1,,,
2061087,1,33,indUnk,Cancer,1,,,
4122908,0,16,Arts,Scorpio,0,0.0,,
4202671,0,17,Student,Gemini,0,1.0,,
4042606,1,17,Student,Capricorn,0,1.0,,
3348721,0,26,Technology,Libra,0,0.0,,
3551081,1,17,Student,Sagittarius,0,1.0,,
3400091,1,23,Law,Aquarius,0,0.0,,
3784161,1,17,Student,Leo,0,1.0,,
3873570,1,34,Education,Capricorn,0,0.0,,
3498277,1,13,indUnk,Pisces,1,,,
4015298,1,42,indUnk,Taurus,1,,,
3839683,1,23,Student,Pisces,0,1.0,,
3829312,0,27,indUnk,Gemini,1,,,
2190377,1,16,Student,Gemini,0,1.0,,
3913126,0,26,Communications-Media,Taurus,0,0.0,,
4210703,0,26,indUnk,Capricorn,1,,,
3998459,1,23,Student,Cancer,0,1.0,,
4067087,1,39,Education,Leo,0,0.0,,
3806796,0,27,Arts,Pisces,0,0.0,,
3881689,0,44,indUnk,Taurus,1,,,
2957170,0,26,indUnk,Aquarius,1,,,
4186455,0,27,Arts,Aries,0,0.0,,
450169,0,17,indUnk,Sagittarius,1,,,
3558845,1,26,indUnk,Pisces,1,,,
3738552,0,23,Telecommunications,Capricorn,0,0.0,,
4224651,0,25,Technology,Gemini,0,0.0,,
