State,Density (/mi^2),Population,TotalArea (mi^2)
New Jersey,1276.6405,9388414,8723
Rhode Island,1069.9623,1106341,1545
Massachusetts,913.6378,7126375,10554
Connecticut,746.0376,3612314,5543
Maryland,644.6851,6257958,12406
Delaware,517.3679,1008350,2489
New York,432.158,20365879,54555
Florida,411.852,22085563,65758
Pennsylvania,291.951,13062764,46054
Ohio,290.0574,11852036,44826
California,256.7424,39995077,163696
Illinois,230.7117,12808884,57914
Hawaii,229.529,1474265,10932
Virginia,221.7642,8757467,42775
North Carolina,218.4411,10620168,53819
Indiana,191.0868,6845874,36420
Georgia,189.8138,10916760,59425
Michigan,178.922,10116069,96714
South Carolina,173.5484,5217037,32020
Tennessee,170.3356,7023788,42144
New Hampshire,155.2263,1389741,9349
Washington,118.8971,7901429,71298
Kentucky,114.9554,4539130,40408
Texas,114.6318,29945493,268596
Wisconsin,109.5879,5935064,65496
Louisiana,108.3842,4682633,52378
Alabama,100.1715,5073187,52420
Missouri,90.0194,6188111,69707
West Virginia,74.1268,1781860,24230
Minnesota,72.6765,5787008,86936
Vermont,70.147,646545,9616
Arizona,64.2939,7303398,113990
Mississippi,63.0837,2960075,48432
Oklahoma,58.3272,4000953,69899
Arkansas,58.2425,3030646,53179
Iowa,57.6324,3219171,56273
Colorado,57.145,5922618,104094
Oregon,44.9899,4318492,98379
Maine,44.3912,1369159,35380
Utah,41.051,3373162,84897
Kansas,36.1408,2954832,82278
Nevada,29.0162,3185426,110572
Nebraska,25.8843,1988536,77348
Idaho,22.9107,1893410,83569
New Mexico,17.5534,2129190,121590
South Dakota,11.887,901165,77116
North Dakota,11.5997,800394,70698
Montana,7.5796,1103187,147040
Wyoming,5.9685,579495,97813
Alaska,1.2933,738023,665384
